key,de-DE,en-US,es-ES,it-IT,fi-FI,sv-SE
custom.data.type.iconclass.name,Iconclass-Verknüpfung,Iconclass-Link,Iconclass-Link,Iconclass-Link,Iconclass-Link,Iconclass-Link
custom.data.type.iconclass.edit.button|icon,edit,edit,edit,edit,edit,edit
custom.data.type.iconclass.remove.button|icon,trash,trash,trash,trash,trash,trash
custom.data.type.iconclass.config.option.mask.editor_style.value.inline,Eingebettet,embedded,embedded,embedded,embedded,embedded
custom.data.type.iconclass.config.parameter.mask.editor_style.value.label,Editor-Stil,Editor-Style,Editor-Style,Editor-Style,Editor-Style,Editor-Style
custom.data.type.iconclass.config.option.mask.editor_style.value.popover,Popover,Popover,Popover,Popover,Popover,Popover
custom.data.type.iconclass.config.option.mask.editor_style.value.dropdown,Dropdown,Dropdown,Dropdown,Dropdown,Dropdown,Dropdown
custom.data.type.iconclass.config.option.mask.editor_style.value.popover_with_treeview,Popover mit Baumansicht,Popover with treeview,Popover with treeview,Popover with treeview,Popover with treeview,Popover with treeview
custom.data.type.iconclass.modal.form.url.placeholder,Iconclass-Verknüpfung,Iconclass-Link,Iconclass-Link,Iconclass-Link,Iconclass-Link,Iconclass-Link
custom.data.type.iconclass.modal.form.text.label,Text,Text,Text,Text,Text,Text
custom.data.type.iconclass.edit.modal.title|text,Mit Vokabulareintrag verknüpfen,Link with Vocabulary-Entry,Link with Vocabulary-Entry,Link with Vocabulary-Entry,Link with Vocabulary-Entry,Link with Vocabulary-Entry
custom.data.type.iconclass.edit.no_valid_iconclass,Keine valide Datensatz-Verknüpfung,No valid Record-Link,No valid Record-Link,No valid Record-Link,No valid Record-Link,No valid Record-Link
custom.data.type.iconclass.edit.no_iconclass,Keine Datensatz-Verknüpfung gesetzt,No Record-Link set,No Record-Link set,No Record-Link set,No Record-Link set,No Record-Link set
custom.data.type.iconclass.modal.form.text.count,Anzahl Vorschläge,Count of suggestions,Count of suggestions,Count of suggestions,Count of suggestions,Count of suggestions
custom.data.type.iconclass.modal.form.text.searchbar,Suchbegriff eingeben,Type searchterm,Type searchterm,Type searchterm,Type searchterm,Type searchterm
custom.data.type.iconclass.modal.form.text.searchbar.placeholder, tippen ... ,type sth. ...,type sth. ...,type sth. ...,type sth. ...,type sth. ...
custom.data.type.iconclass.modal.form.text.result.label,Gewählter Eintrag,Choosen entry,Choosen entry,Choosen entry,Choosen entry,Choosen entry
custom.data.type.iconclass.modal.form.text.result.placeholder,noch leer,empty,empty,empty,empty,empty
custom.data.type.iconclass.modal.form.text.uri.label,Zugehörige URI,Choosen URI,Choosen URI,Choosen URI,Choosen URI,Choosen URI
custom.data.type.iconclass.modal.form.text.uri.label.placeholder,noch leer,empty,empty,empty,empty,empty
custom.data.type.iconclass.modal.form.popup.suggest.nohit,Kein Treffer,No hit,No hit,No hit,No hit,No hit
custom.data.type.iconclass.url.tooltip,zu **%(name)s** springen,jump to **%(name)s**,jump to **%(name)s**,jump to **%(name)s**,jump to **%(name)s**,jump to **%(name)s**
custom.data.type.iconclass.modal.form.popup.preview.preflabel,Bezeichnung,Label,Label,Label,Label,Label
custom.data.type.iconclass.modal.form.popup.preview.keywords,Schlagwörter,Keywords,Keywords,Keywords,Keywords,Keywords
custom.data.type.iconclass.modal.form.popup.no_information_found,Keine Information gefunden,no information found,no information found,no information found,no information found,no information found
custom.data.type.iconclass.modal.form.popup.loadingstring,Lade ..,loading ..,loading ..,loading ..,loading ..,loading ..
custom.data.type.iconclass.modal.form.loadingSuggestions,Lade Vorschläge,loading suggestions,loading suggestions,loading suggestions,loading suggestions,loading suggestions
custom.data.type.iconclass.edit.no_entry,Kein Eintrag,No entry,No entry,No entry,No entry,No entry
